stage_a,stage_b,kendall_tau_b_difference,top10_overlap_difference,median_rank_displacement_difference,p90_rank_displacement_difference,median_consequence_priority_percentile_gap_difference,p90_consequence_priority_percentile_gap_difference,replicate
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.2551620130956195,0.10441176470588232,0.05181347150259069,0.26201332346410056,-0.08164322723908224,-0.15185788304959302,42
PRE_IB,POST_IB_PRE_OB,0.07372910919969866,0.15300751879699248,-0.01678818257765624,-0.0933310549100024,-0.02348674717095764,-0.06246677299308839,43
PRE_IB,POST_OB_PRE_TO,-0.18586227136846112,0.17222222222222217,0.0505050505050505,0.17424242424242428,-0.09154040404040403,-0.22323232323232295,43
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.2595913805681598,0.019214703425229684,0.06729323308270674,0.2675734791524267,-0.0680536568694464,-0.16076555023923456,43
PRE_IB,POST_IB_PRE_OB,0.11749303088008267,0.26249999999999996,-0.02728104043893516,-0.07632425658741451,-0.04152272573325197,-0.13182957393483713,44
PRE_IB,POST_OB_PRE_TO,-0.22641568752281138,0.30000000000000004,0.05855855855855857,0.2163694622457509,-0.11848704374477564,-0.2740549828178694,44
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.34390871840289405,0.03750000000000009,0.08583959899749373,0.2926937188331654,-0.07696431801152367,-0.14222540888303226,44
PRE_IB,POST_IB_PRE_OB,-0.03909493293070643,-0.3246753246753246,0.007142857142857159,0.04675324675324677,0.011363636363636354,0.07012987012987015,45
PRE_IB,POST_OB_PRE_TO,-0.3067035546385303,-0.7181818181818183,0.08863636363636364,0.25808080808080813,-0.07499999999999996,-0.10277777777777775,45
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.26760862170782385,-0.3935064935064936,0.08149350649350648,0.21132756132756136,-0.08636363636363631,-0.1729076479076479,45
PRE_IB,POST_IB_PRE_OB,-0.04344547733587967,-0.14444444444444438,-0.0014823560278105774,0.02929292929292926,-0.03329069919979011,-0.02574904893086727,46
PRE_IB,POST_OB_PRE_TO,-0.349165005164524,-0.19999999999999996,0.08264462809917356,0.3181818181818181,-0.07783866331297162,-0.13335429392741638,46
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.3057195278286443,-0.05555555555555558,0.08412698412698413,0.28888888888888886,-0.044547964113181515,-0.10760524499654911,46
PRE_IB,POST_IB_PRE_OB,-0.17485585031179907,-0.2828947368421053,0.03653565015283711,0.13336362259578977,0.012313512410870725,0.01759775241309547,47
PRE_IB,POST_OB_PRE_TO,-0.423556893720206,-0.41666666666666663,0.08920187793427226,0.37106348234333525,-0.0649112063686467,-0.17746478873239435,47
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.24870104340840693,-0.13377192982456132,0.05266622778143515,0.2376998597475455,-0.07722471877951742,-0.19506254114548982,47
PRE_IB,POST_IB_PRE_OB,-0.03468515027235808,-0.34246575342465757,-0.02118945868945868,0.07516788766788768,0.013577279202279219,-0.00020858770858755982,48
PRE_IB,POST_OB_PRE_TO,-0.270953939673236,-0.30000000000000004,0.05092592592592593,0.25736961451247165,-0.07048374905517757,-0.13526549508692354,48
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.23626878940087792,0.042465753424657526,0.07211538461538461,0.18220172684458397,-0.08406102825745679,-0.13505690737833598,48
PRE_IB,POST_IB_PRE_OB,-0.045928092535982956,-0.12937062937062938,0.008102073365231277,0.004560571388946555,-0.012298731017266529,-0.05812634352680124,49
PRE_IB,POST_OB_PRE_TO,-0.3701611174551872,-0.31196581196581197,0.09090909090909094,0.286034255599473,-0.060924462011418545,-0.13657663592446123,49
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.32423302491920425,-0.1825951825951826,0.08280701754385966,0.28147368421052643,-0.04862573099415202,-0.07845029239766,49
PRE_IB,POST_IB_PRE_OB,0.060900621197156224,0.015881708652792925,-0.03654496338707769,-0.05102080112358906,-0.005906063643622866,-0.020420977817043773,50
PRE_IB,POST_OB_PRE_TO,-0.18733212143148836,-0.36363636363636365,0.05633802816901401,0.12061851229702383,-0.08902959038635472,-0.1857259766550372,50
POST_IB_PRE_OB,POST_OB_PRE_TO,-0.2482327426286446,-0.37951807228915657,0.0928829915560917,0.1716393134206129,-0.08312352674273185,-0.16530499883799343,50
PRE_IB,POST_IB_PRE_OB,-0.06902294902330042,-0.08956228956228962,0.008330449312903998,0.08339957840865006,0.008351424006935615,-0.0010394708783851847,51
PRE_IB,POST_OB_PRE_TO,-0.33759912174336426,-0.0636363636363636,0.07981220657276994,0.30635269953051647,-0.06029929577464793,-0.1562206572769962,51
