decision_node_id,band,conditional_top1_action_id,top1_residual_risk_objective,top1_expected_constructed_eur,n_conditional_comparable_actions,support_status
sha256:bdb5722dbba0f650866f16dd4eb44c76dcb1a7e112c6d69a654343481b44425e,LOW,A00,21.293922764773207,14.662987674137188,23,PARTIAL_DIAGNOSTIC
sha256:bdb5722dbba0f650866f16dd4eb44c76dcb1a7e112c6d69a654343481b44425e,BASE,A00,42.587845529546414,29.325975348274376,23,PARTIAL_DIAGNOSTIC
sha256:bdb5722dbba0f650866f16dd4eb44c76dcb1a7e112c6d69a654343481b44425e,HIGH,A00,85.17569105909283,58.65195069654875,23,PARTIAL_DIAGNOSTIC
sha256:d55e37b15f71b68a4248316975f49cb72eec0017615c709427e57c79540418c8,LOW,A00,15.03147654637631,8.925580511280264,23,PARTIAL_DIAGNOSTIC
sha256:d55e37b15f71b68a4248316975f49cb72eec0017615c709427e57c79540418c8,BASE,A00,30.06295309275262,17.85116102256053,23,PARTIAL_DIAGNOSTIC
sha256:d55e37b15f71b68a4248316975f49cb72eec0017615c709427e57c79540418c8,HIGH,A00,60.12590618550524,35.70232204512106,23,PARTIAL_DIAGNOSTIC
sha256:159351f7be5b254d302ed70238c9f95c3167ea0c2a9faecfa467cf785d2b9562,LOW,A00,22.253319570186015,15.518445281968953,23,PARTIAL_DIAGNOSTIC
sha256:159351f7be5b254d302ed70238c9f95c3167ea0c2a9faecfa467cf785d2b9562,BASE,A00,44.50663914037203,31.036890563937906,23,PARTIAL_DIAGNOSTIC
sha256:159351f7be5b254d302ed70238c9f95c3167ea0c2a9faecfa467cf785d2b9562,HIGH,A00,89.01327828074406,62.07378112787581,23,PARTIAL_DIAGNOSTIC
sha256:cb91c5fcfa4ffc22b8939e8dee3e876e8117b2c95a0cb0bbacd57d451146571a,LOW,A00,22.079249603227492,15.326489558879624,23,PARTIAL_DIAGNOSTIC
sha256:cb91c5fcfa4ffc22b8939e8dee3e876e8117b2c95a0cb0bbacd57d451146571a,BASE,A00,44.158499206454984,30.652979117759248,23,PARTIAL_DIAGNOSTIC
sha256:cb91c5fcfa4ffc22b8939e8dee3e876e8117b2c95a0cb0bbacd57d451146571a,HIGH,A00,88.31699841290997,61.305958235518496,23,PARTIAL_DIAGNOSTIC
sha256:b870182a8acb552b11f79b7c83eebcf523025a2ac7c0ddbb7c2de4f0b91a8fe6,LOW,A00,22.05367230403881,15.284238407523642,23,PARTIAL_DIAGNOSTIC
sha256:b870182a8acb552b11f79b7c83eebcf523025a2ac7c0ddbb7c2de4f0b91a8fe6,BASE,A00,44.10734460807762,30.568476815047283,23,PARTIAL_DIAGNOSTIC
sha256:b870182a8acb552b11f79b7c83eebcf523025a2ac7c0ddbb7c2de4f0b91a8fe6,HIGH,A00,88.21468921615524,61.13695363009457,23,PARTIAL_DIAGNOSTIC
sha256:0d10dcb7cd4927b25b6f8bd57149cf850a04c81a205673686101759ef629d7c3,LOW,A00,22.02470647248035,15.39235125187054,23,PARTIAL_DIAGNOSTIC
sha256:0d10dcb7cd4927b25b6f8bd57149cf850a04c81a205673686101759ef629d7c3,BASE,A00,44.0494129449607,30.78470250374108,23,PARTIAL_DIAGNOSTIC
sha256:0d10dcb7cd4927b25b6f8bd57149cf850a04c81a205673686101759ef629d7c3,HIGH,A00,88.0988258899214,61.56940500748216,23,PARTIAL_DIAGNOSTIC
