episode_id,component,channel,comparison,absolute_mean_distortion,absolute_tail_distortion,n_nodes
sha256:651d1c25c6869ad0047b73cebaf29447014385404c2a6300ab266c3af01b5b5b,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:6710bf2d94fd133a2e3198a219550df6575c6c9ad17177fc29515fa62236c8a5,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,9
sha256:6710bf2d94fd133a2e3198a219550df6575c6c9ad17177fc29515fa62236c8a5,F_continuity,Flight,POINT_MINUS_JOINT,0.0005426356589147287,0.005426356589147288,9
sha256:6710bf2d94fd133a2e3198a219550df6575c6c9ad17177fc29515fa62236c8a5,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:6710bf2d94fd133a2e3198a219550df6575c6c9ad17177fc29515fa62236c8a5,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:6c8e828f71a05c5c7ac186aeccf4963d88fd55d5ddd5ffa500dece610782031d,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,14
sha256:6c8e828f71a05c5c7ac186aeccf4963d88fd55d5ddd5ffa500dece610782031d,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,14
sha256:6c8e828f71a05c5c7ac186aeccf4963d88fd55d5ddd5ffa500dece610782031d,F_execution,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,1
sha256:6c8e828f71a05c5c7ac186aeccf4963d88fd55d5ddd5ffa500dece610782031d,F_execution,Flight,POINT_MINUS_JOINT,0.0,0.0,1
sha256:6d39926190538294f7153287c797b64afa70e4405610e6997c682a34d71f1f39,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,8
sha256:6d39926190538294f7153287c797b64afa70e4405610e6997c682a34d71f1f39,F_continuity,Flight,POINT_MINUS_JOINT,0.00045348837209302327,0.004534883720930234,8
sha256:6d5af9abdb6bc0b322b30d9cad06d7471821fff96df8c14ffca52fe4ac05164c,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,8
sha256:6d5af9abdb6bc0b322b30d9cad06d7471821fff96df8c14ffca52fe4ac05164c,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,8
sha256:6eda9cdf75c1e5fb3b598b18b05d588ec3b00281457bdea1a2ea3e120aef1c48,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,18
sha256:6eda9cdf75c1e5fb3b598b18b05d588ec3b00281457bdea1a2ea3e120aef1c48,F_continuity,Flight,POINT_MINUS_JOINT,0.0,0.0,18
sha256:73d86411ce4c378261aab5edc53d9b472631a7670b7866e1d4ba5422d05430c5,F_continuity,Flight,MARGINAL_MINUS_JOINT,0.0,0.0,9
